UniProt	ID	name	length	gene	function
Q9BZS1	FOXP3_HUMAN	Forkhead box protein P3	431	FOXP3	Transcriptional regulator which is crucial for the development and inhibitory function of regulatory T-cells (Treg). Plays an essential role in maintaining homeostasis of the immune system by allowing the acquisition of full suppressive function and stability of the Treg lineage, and by directly modulating the expansion and function of conventional T-cells. Can act either as a transcriptional repressor or a transcriptional activator depending on its interactions with other transcription factors, histone acetylases and deacetylases. The suppressive activity of Treg involves the coordinate activation of many genes, including CTLA4 and TNFRSF18 by FOXP3 along with repression of genes encoding cytokines such as interleukin-2 (IL2) and interferon-gamma (IFNG). Inhibits cytokine production and T-cell effector function by repressing the activity of two key transcription factors, RELA and NFATC2. Mediates transcriptional repression of IL2 via its association with histone acetylase KAT5 and histone deacetylase HDAC7. Can activate the expression of TNFRSF18, IL2RA and CTLA4 and repress the expression of IL2 and IFNG via its association with transcription factor RUNX1. Inhibits the differentiation of IL17 producing helper T-cells (Th17) by antagonizing RORC function, leading to down-regulation of IL17 expression, favoring Treg development. Inhibits the transcriptional activator activity of RORA. Can repress the expression of IL2 and IFNG via its association with transcription factor IKZF4 (By similarity)
P11413	G6PD_HUMAN	Glucose-6-phosphate 1-dehydrogenase	515	G6PD	Catalyzes the rate-limiting step of the oxidative pentose- phosphate pathway, which represents a route for the dissimilation of carbohydrates besides glycolysis. The main function of this enzyme is to provide reducing power (NADPH) and pentose phosphates for fatty acid and nucleic acid synthesis
Q9Y223	GLCNE_HUMAN	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase	722	GNE	Bifunctional enzyme that possesses both UDP-N- acetylglucosamine 2-epimerase and N-acetylmannosamine kinase activities, and serves as the initiator of the biosynthetic pathway leading to the production of N-acetylneuraminic acid (NeuAc), a critical precursor in the synthesis of sialic acids. By catalyzing this pivotal and rate-limiting step in sialic acid biosynthesis, this enzyme assumes a pivotal role in governing the regulation of cell surface sialylation. Sialic acids represent a category of negatively charged sugars that reside on the surface of cells as terminal components of glycoconjugates and mediate important functions in various cellular processes, including cell adhesion, signal transduction, and cellular recognition
P06865	HEXA_HUMAN	Beta-hexosaminidase subunit alpha	529	HEXA	Hydrolyzes the non-reducing end N-acetyl-D-hexosamine and/or sulfated N-acetyl-D-hexosamine of glycoconjugates, such as the oligosaccharide moieties from proteins and neutral glycolipids, or from certain mucopolysaccharides. The isozyme S is as active as the isozyme A on the anionic bis-sulfated glycans, the chondroitin-6- sulfate trisaccharide (C6S-3), and the dermatan sulfate pentasaccharide, and the sulfated glycosphingolipid SM2. The isozyme B does not hydrolyze each of these substrates, however hydrolyzes efficiently neutral oligosaccharide. Only the isozyme A is responsible for the degradation of GM2 gangliosides in the presence of GM2A
C9JR72	KBTBD_HUMAN	Kelch repeat and BTB domain-containing protein 13	458	KBTBD13	Substrate-specific adapter of a BCR (BTB-CUL3-RBX1) E3 ubiquitin ligase complex
P51787	KCNQ1_HUMAN	Potassium voltage-gated channel subfamily KQT member 1	676	KCNQ1	Potassium channel that plays an important role in a number of tissues, including heart, inner ear, stomach and colon. Associates with KCNE beta subunits that modulates current kinetics. Induces a voltage-dependent current by rapidly activating and slowly deactivating potassium-selective outward current. Promotes also a delayed voltage activated potassium current showing outward rectification characteristic (By similarity). During beta-adrenergic receptor stimulation participates in cardiac repolarization by associating with KCNE1 to form the I(Ks) cardiac potassium current that increases the amplitude and slows down the activation kinetics of outward potassium current I(Ks) (By similarity). Muscarinic agonist oxotremorine-M strongly suppresses KCNQ1/KCNE1 current. When associated with KCNE3, forms the potassium channel that is important for cyclic AMP-stimulated intestinal secretion of chloride ions. This interaction with KCNE3 is reduced by 17beta-estradiol, resulting in the reduction of currents (By similarity). During conditions of increased substrate load, maintains the driving force for proximal tubular and intestinal sodium ions absorption, gastric acid secretion, and cAMP- induced jejunal chloride ions secretion (By similarity). Allows the provision of potassium ions to the luminal membrane of the secretory canaliculus in the resting state as well as during stimulated acid secretion (By similarity). When associated with KCNE2, forms a heterooligomer complex leading to currents with an apparently instantaneous activation, a rapid deactivation process and a linear current-voltage relationship and decreases the amplitude of the outward current. When associated with KCNE4, inhibits voltage-gated potassium channel activity. When associated with KCNE5, this complex only conducts current upon strong and continued depolarization. Also forms a heterotetramer with KCNQ5; has a voltage-gated potassium channel activity. Binds with phosphatidylinositol 4,5- bisphosphate. KCNQ1-KCNE2 channel associates with Na(+)-coupled myo-inositol symporter in the apical membrane of choroid plexus epithelium and regulates the myo-inositol gradient between blood and cerebrospinal fluid with an impact on neuron excitability. {ECO:0000250|UniProtKB:P97414, ECO:0000250|UniProtKB:Q9Z0N7, ECO:0000269|PubMed:10646604, ECO:0000269|PubMed:10713961, ECO:0000269|PubMed:11101505, ECO:0000269|PubMed:12324418, ECO:0000269|PubMed:19687231, ECO:0000269|PubMed:24595108, ECO:0000269|PubMed:24855057, ECO:0000269|PubMed:25037568, ECO:0000269|PubMed:8900283, ECO:0000269|PubMed:9108097, ECO:0000269|PubMed:9312006}. [Isoform 2]: Non-functional alone but modulatory when coexpressed with the full-length isoform 1
P01130	LDLR_HUMAN	Low-density lipoprotein receptor	860	LDLR	Binds low density lipoprotein /LDL, the major cholesterol- carrying lipoprotein of plasma, and transports it into cells by endocytosis. In order to be internalized, the receptor-ligand complexes must first cluster into clathrin-coated pits. Forms a ternary complex with PGRMC1 and TMEM97 receptors which increases LDLR-mediated LDL internalization. {ECO:0000269|PubMed:3005267, ECO:0000269|PubMed:30443021, ECO:0000269|PubMed:6091915}. (Microbial infection) Acts as a receptor for hepatitis C virus in hepatocytes, but not through a direct interaction with viral proteins. {ECO:0000269|PubMed:10535997, ECO:0000269|PubMed:12615904}. (Microbial infection) Acts as a receptor for Vesicular stomatitis virus. {ECO:0000269|PubMed:23589850}. (Microbial infection) In case of HIV-1 infection, may function as a receptor for extracellular Tat in neurons, mediating its internalization in uninfected cells. {ECO:0000269|PubMed:11100124}. (Microbial infection) Acts as a receptor for Crimean-Congo hemorrhagic fever virus (CCHFV). {ECO:0000269|PubMed:38182887}. (Microbial infection) Acts as a receptor for many Alphavirus, including Getah virus (GETV), Ross river virus (RRV) and Semliki Forest virus
P10253	LYAG_HUMAN	Lysosomal alpha-glucosidase	952	GAA	Essential for the degradation of glycogen in lysosomes. Has highest activity on alpha-1,4-linked glycosidic linkages, but can also hydrolyze alpha-1,6-linked glucans
O15553	MEFV_HUMAN	Pyrin	781	MEFV	Involved in the regulation of innate immunity and the inflammatory response in response to IFNG/IFN-gamma. Organizes autophagic machinery by serving as a platform for the assembly of ULK1, Beclin 1/BECN1, ATG16L1, and ATG8 family members and recognizes specific autophagy targets, thus coordinating target recognition with assembly of the autophagic apparatus and initiation of autophagy. Acts as an autophagy receptor for the degradation of several inflammasome components, including CASP1, NLRP1 and NLRP3, hence preventing excessive IL1B- and IL18-mediated inflammation. However, it can also have a positive effect in the inflammatory pathway, acting as an innate immune sensor that triggers PYCARD/ASC specks formation, caspase-1 activation, and IL1B and IL18 production. Together with AIM2, also acts as a mediator of pyroptosis, necroptosis and apoptosis (PANoptosis), an integral part of host defense against pathogens, in response to bacterial infection (By similarity). It is required for PSTPIP1-induced PYCARD/ASC oligomerization and inflammasome formation. Recruits PSTPIP1 to inflammasomes, and is required for PSTPIP1 oligomerization
P12883	MYH7_HUMAN	Myosin-7	1935	MYH7	Myosins are actin-based motor molecules with ATPase activity essential for muscle contraction. Forms regular bipolar thick filaments that, together with actin thin filaments, constitute the fundamental contractile unit of skeletal and cardiac muscle
Q6KC79	NIPBL_HUMAN	Nipped-B-like protein	2804	NIPBL	Plays an important role in the loading of the cohesin complex on to DNA. Forms a heterodimeric complex (also known as cohesin loading complex) with MAU2/SCC4 which mediates the loading of the cohesin complex onto chromatin. Plays a role in cohesin loading at sites of DNA damage. Its recruitment to double- strand breaks (DSBs) sites occurs in a CBX3-, RNF8- and RNF168- dependent manner whereas its recruitment to UV irradiation-induced DNA damage sites occurs in a ATM-, ATR-, RNF8- and RNF168-dependent manner. Along with ZNF609, promotes cortical neuron migration during brain development by regulating the transcription of crucial genes in this process. Preferentially binds promoters containing paused RNA polymerase II. Up-regulates the expression of SEMA3A, NRP1, PLXND1 and GABBR2 genes, among others (By similarity)
Q9Y5X4	NR2E3_HUMAN	Photoreceptor-specific nuclear receptor	410	NR2E3	Orphan nuclear receptor of retinal photoreceptor cells. Transcriptional factor that is an activator of rod development and repressor of cone development. Binds the promoter region of a number of rod- and cone-specific genes, including rhodopsin, M- and S-opsin and rod-specific phosphodiesterase beta subunit. Enhances rhodopsin expression. Represses M- and S-cone opsin expression
P04637	P53_HUMAN	Cellular tumor antigen p53	393	TP53	Acts as a tumor suppressor in many tumor types; induces growth arrest or apoptosis depending on the physiological circumstances and cell type. Involved in cell cycle regulation as a trans-activator that acts to negatively regulate cell division by controlling a set of genes required for this process. One of the activated genes is an inhibitor of cyclin-dependent kinases. Apoptosis induction seems to be mediated either by stimulation of BAX and FAS antigen expression, or by repression of Bcl-2 expression. Its pro-apoptotic activity is activated via its interaction with PPP1R13B/ASPP1 or TP53BP2/ASPP2. However, this activity is inhibited when the interaction with PPP1R13B/ASPP1 or TP53BP2/ASPP2 is displaced by PPP1R13L/iASPP. In cooperation with mitochondrial PPIF is involved in activating oxidative stress-induced necrosis; the function is largely independent of transcription. Induces the transcription of long intergenic non-coding RNA p21 (lincRNA-p21) and lincRNA-Mkln1. LincRNA-p21 participates in TP53-dependent transcriptional repression leading to apoptosis and seems to have an effect on cell-cycle regulation. Implicated in Notch signaling cross- over. Prevents CDK7 kinase activity when associated to CAK complex in response to DNA damage, thus stopping cell cycle progression. Isoform 2 enhances the transactivation activity of isoform 1 from some but not all TP53-inducible promoters. Isoform 4 suppresses transactivation activity and impairs growth suppression mediated by isoform 1. Isoform 7 inhibits isoform 1-mediated apoptosis. Regulates the circadian clock by repressing CLOCK-BMAL1-mediated transcriptional activation of PER2
P49768	PSN1_HUMAN	Presenilin-1	467	PSEN1	Catalytic subunit of the gamma-secretase complex, an endoprotease complex that catalyzes the intramembrane cleavage of integral membrane proteins such as Notch receptors and APP (amyloid- beta precursor protein). Requires the presence of the other members of the gamma-secretase complex for protease activity. Plays a role in Notch and Wnt signaling cascades and regulation of downstream processes via its role in processing key regulatory proteins, and by regulating cytosolic CTNNB1 levels. Stimulates cell-cell adhesion via its interaction with CDH1; this stabilizes the complexes between CDH1 (E- cadherin) and its interaction partners CTNNB1 (beta-catenin), CTNND1 and JUP (gamma-catenin). Under conditions of apoptosis or calcium influx, cleaves CDH1. This promotes the disassembly of the complexes between CDH1 and CTNND1, JUP and CTNNB1, increases the pool of cytoplasmic CTNNB1, and thereby negatively regulates Wnt signaling. Required for normal embryonic brain and skeleton development, and for normal angiogenesis (By similarity). Mediates the proteolytic cleavage of EphB2/CTF1 into EphB2/CTF2. The holoprotein functions as a calcium-leak channel that allows the passive movement of calcium from endoplasmic reticulum to cytosol and is therefore involved in calcium homeostasis. Involved in the regulation of neurite outgrowth. Is a regulator of presynaptic facilitation, spike transmission and synaptic vesicles replenishment in a process that depends on gamma-secretase activity. It acts through the control of SYT7 presynaptic expression (By similarity)
Q9ULC3	RAB23_HUMAN	Ras-related protein Rab-23	237	RAB23	The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes. Rabs cycle between an inactive GDP-bound form and an active GTP-bound form that is able to recruit to membranes different set of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion. Together with SUFU, prevents nuclear import of GLI1, and thereby inhibits GLI1 transcription factor activity. Regulates GLI1 in differentiating chondrocytes. Likewise, regulates GLI3 proteolytic processing and modulates GLI2 and GLI3 transcription factor activity. Plays a role in autophagic vacuole assembly, and mediates defense against pathogens, such as S.aureus, by promoting their capture by autophagosomes that then merge with lysosomes
Q13621	S12A1_HUMAN	Solute carrier family 12 member 1	1099	SLC12A1	Renal sodium, potassium and chloride ion cotransporter that mediates the transepithelial NaCl reabsorption in the thick ascending limb and plays an essential role in the urinary concentration and volume regulation. Electrically silent transporter system (By similarity)
Q99250	SCN2A_HUMAN	Sodium channel protein type 2 subunit alpha	2005	SCN2A	Mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which Na(+) ions may pass in accordance with their electrochemical gradient. Implicated in the regulation of hippocampal replay occurring within sharp wave ripples (SPW-R) important for memory (By similarity)
Q14524	SCN5A_HUMAN	Sodium channel protein type 5 subunit alpha	2016	SCN5A	This protein mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which Na(+) ions may pass in accordance with their electrochemical gradient. It is a tetrodotoxin-resistant Na(+) channel isoform. This channel is responsible for the initial upstroke of the action potential. Channel inactivation is regulated by intracellular calcium levels
P40763	STAT3_HUMAN	Signal transducer and activator of transcription 3	770	STAT3	Signal transducer and transcription activator that mediates cellular responses to interleukins, KITLG/SCF, LEP and other growth factors. Once activated, recruits coactivators, such as NCOA1 or MED1, to the promoter region of the target gene. May mediate cellular responses to activated FGFR1, FGFR2, FGFR3 and FGFR4. Upon activation of IL6ST/gp130 signaling by interleukin-6 (IL6), binds to the IL6-responsive elements identified in the promoters of various acute-phase protein genes. Activated by IL31 through IL31RA. Acts as a regulator of inflammatory response by regulating differentiation of naive CD4(+) T-cells into T-helper Th17 or regulatory T-cells (Treg): acetylation promotes its transcription activity and cell differentiation while deacetylation and oxidation of lysine residues by LOXL3 inhibits differentiation. Involved in cell cycle regulation by inducing the expression of key genes for the progression from G1 to S phase, such as CCND1. Mediates the effects of LEP on melanocortin production, body energy homeostasis and lactation (By similarity). May play an apoptotic role by transctivating BIRC5 expression under LEP activation. Cytoplasmic STAT3 represses macroautophagy by inhibiting EIF2AK2/PKR activity. Plays a crucial role in basal beta cell functions, such as regulation of insulin secretion (By similarity). Following JAK/STAT signaling activation and as part of a complex with NFATC3 and NFATC4, binds to the alpha-beta E4 promoter region of CRYAB and activates transcription in cardiomyocytes (By similarity)
P49815	TSC2_HUMAN	Tuberin	1807	TSC2	Catalytic component of the TSC-TBC complex, a multiprotein complex that acts as a negative regulator of the canonical mTORC1 complex, an evolutionarily conserved central nutrient sensor that stimulates anabolic reactions and macromolecule biosynthesis to promote cellular biomass generation and growth. Within the TSC-TBC complex, TSC2 acts as a GTPase- activating protein (GAP) for the small GTPase RHEB, a direct activator of the protein kinase activity of mTORC1. In absence of nutrients, the TSC-TBC complex inhibits mTORC1, thereby preventing phosphorylation of ribosomal protein S6 kinase (RPS6KB1 and RPS6KB2) and EIF4EBP1 (4E-BP1) by the mTORC1 signaling. The TSC-TBC complex is inactivated in response to nutrients, relieving inhibition of mTORC1. Involved in microtubule-mediated protein transport via its ability to regulate mTORC1 signaling (By similarity). Also stimulates the intrinsic GTPase activity of the Ras- related proteins RAP1A and RAB5 (By similarity)
